PDB_ID,TITLE,RESOLUTION,R_FACTOR,R_FACTOR_W,HELIX,STRAND,n_SEQSTR,n_SEQRES,n_SEQAF,n_SEQDIFF,pLDDT_global,uniprot.id,csm.af.id,csm.rcsb.id
2VFR,Alditol Oxidase from Streptomyces coelicolor A3(2): Native Enzyme,1.1,0.14,0.139,26,25,418,422,418,0,95.94,Q9ZBU1,AF-Q9ZBU1-F1-model_v4,AF_AFQ9ZBU1F1
2VW8,Crystal Structure of Quinolone signal response protein pqsE from Pseudomonas aeruginosa,1.45,0.16713,0.16613,39,23,300,303,301,1,96.67,P20581,AF-P20581-F1-model_v4,AF_AFP20581F1
2VYO,Chitin deacetylase family member from Encephalitozoon cuniculi,1.5,0.198,0.198,44,17,206,254,254,48,95.47,Q8SU65,AF-Q8SU65-F1-model_v4,AF_AFQ8SU65F1
2W1P,"1.4 Angstrom crystal structure of P.pastoris aquaporin, Aqy1, in a closed conformation at pH 8.0",1.4,0.161,0.1602,68,0,263,279,279,16,90.24,F2QVG4,AF-F2QVG4-F1-model_v4,AF_AFF2QVG4F1
2W1R,Crystal Structure of the C-terminal Domain of B. subtilis SpoVT,1.5,0.22332,0.22235,34,38,117,123,178,61,96.08,P37554,AF-P37554-F1-model_v4,AF_AFP37554F1
2W5Q,Structure-based mechanism of lipoteichoic acid synthesis by Staphylococcus aureus LtaS.,1.2,0.171,0.171,38,15,424,424,646,222,96.72,Q7A1I3,AF-Q7A1I3-F1-model_v4,AF_AFQ7A1I3F1
2WDC,Termus thermophilus Sulfate thiohydrolase SoxB in complex with glycerol,1.5,0.167,0.165,33,24,542,562,573,31,97.9,Q72IT0,AF-Q72IT0-F1-model_v4,AF_AFQ72IT0F1
2WJ5,Rat alpha crystallin domain,1.12,0.1537,0.1523,3,46,96,101,162,66,86.83,P97541,AF-P97541-F1-model_v4,AF_AFP97541F1
2WL1,Pyrin PrySpry domain,1.35,0.194,0.193,6,38,191,191,781,590,94.52,O15553,AF-O15553-F1-model_v4,AF_AFO15553F1
2WNX,3b' carbohydrate-binding module from the Cel9V glycoside hydrolase from Clostridium thermocellum,1.31,0.12127,0.11951,10,45,157,170,961,804,87.76,A3DJ30,AF-A3DJ30-F1-model_v4,AF_AFA3DJ30F1
2WOL,Clavulanic acid biosynthesis oligopeptide binding protein 2,1.45,0.18888,0.18823,31,20,553,562,562,9,94.95,Q8KRB4,AF-Q8KRB4-F1-model_v4,AF_AFQ8KRB4F1
2WY4,Structure of bacterial globin from Campylobacter jejuni at 1.35 A resolution,1.35,0.17997,0.17808,87,0,139,140,140,1,96.81,Q0P842,AF-Q0P842-F1-model_v4,AF_AFQ0P842F1
2X2O,The flavoprotein NrdI from Bacillus cereus with the initially oxidized FMN cofactor in an intermediate radiation reduced state,1.13,NA,NA,44,24,117,119,119,2,97.7,Q81G57,AF-Q81G57-F1-model_v4,AF_AFQ81G57F1
2X4L,"Crystal structure of DesE, a ferric-siderophore receptor protein from Streptomyces coelicolor",1.5,0.18061,0.17909,36,20,298,325,349,51,98.46,Q9L074,AF-Q9L074-F1-model_v4,AF_AFQ9L074F1
2X5X,The crystal structure of PhaZ7 at atomic (1.2 Angstrom) resolution reveals details of the active site and suggests a substrate binding mode,1.2,0.139,NA,28,17,342,342,380,38,98.31,Q939Q9,AF-Q939Q9-F1-model_v4,AF_AFQ939Q9F1
2X7M,Crystal structure of Archaemetzincin (amzA) from Methanopyrus kandleri at 1.5 A resolution,1.5,0.178,0.176,36,19,180,195,175,5,96.57,Q8TXW1,AF-Q8TXW1-F1-model_v4,AF_AFQ8TXW1F1
2Y39,Ni-bound form of Cupriavidus metallidurans CH34 CnrXs,1.41,0.1804,0.1795,85,0,110,118,148,38,89.32,P37975,AF-P37975-F1-model_v4,AF_AFP37975F1
2Y9F,High-resolution Structural Insights on the Sugar-recognition and Fusion Tag Properties of a Versatile b-Trefoil Lectin Domain,1.47,0.1593,0.15753,12,39,149,150,315,166,94.74,Q7Z8V1,AF-Q7Z8V1-F1-model_v4,AF_AFQ7Z8V1F1
2YFN,"galactosidase domain of alpha-galactosidase-sucrose kinase, AgaSK",1.45,0.13105,0.13007,22,33,719,720,935,216,98.48,G4T4R7,AF-G4T4R7-F1-model_v4,AF_AFG4T4R7F1
2YH5,Structure of the C-terminal domain of BamC,1.25,0.14828,0.14643,35,35,121,127,344,223,92.79,P0A903,AF-P0A903-F1-model_v4,AF_AFP0A903F1
2YLC,Structure of Salmonella typhimurium Hfq in complex with U6 RNA,1.3,0.1342,0.1317,21,45,66,74,102,36,96.38,P0A1R0,AF-P0A1R0-F1-model_v4,AF_AFP0A1R0F1
2YLN,Crystal structure of the L-cystine solute receptor of Neisseria gonorrhoeae in the closed conformation,1.12,0.11087,0.10923,39,24,240,283,274,34,97.54,Q5F9M1,AF-Q5F9M1-F1-model_v4,AF_AFQ5F9M1F1
2YXF,The high resolution crystal structure of beta2-microglobulin under physiological conditions,1.13,0.18436,0.1838,3,51,99,100,119,20,97.3,P61769,AF-P61769-F1-model_v4,AF_AFP61769F1
2Z8X,Crystal structure of extracellular lipase from Pseudomonas sp. MIS38,1.48,0.17714,0.17622,27,27,616,617,617,1,94.75,Q9RBY1,AF-Q9RBY1-F1-model_v4,AF_AFQ9RBY1F1
2ZPT,Crystal structure of mouse sulfotransferase SULT1D1 complex with PAP,1.15,0.14856,0.14794,44,11,288,295,295,7,97.82,Q3UZZ6,AF-Q3UZZ6-F1-model_v4,AF_AFQ3UZZ6F1
2ZXY,Crystal Structure of Cytochrome c555 from Aquifex aeolicus,1.15,0.12899,0.12711,59,0,86,87,104,18,97.35,O67504,AF-O67504-F1-model_v4,AF_AFO67504F1
3A0S,PAS domain of histidine kinase ThkA (TM1359),1.47,0.211,0.21,28,42,96,96,755,659,88.76,Q9X180,AF-Q9X180-F1-model_v4,AF_AFQ9X180F1
3A71,High resolution structure of Penicillium chrysogenum alpha-L-arabinanase,1.14,0.1067,NA,2,46,353,355,378,25,98.78,Q7ZA77,AF-Q7ZA77-F1-model_v4,AF_AFQ7ZA77F1
3A7L,Crystal structure of E. coli apoH-protein,1.3,0.17784,0.17632,23,34,128,128,129,1,97.45,P0A6T9,AF-P0A6T9-F1-model_v4,AF_AFP0A6T9F1
3ACX,Crystal structure of the C(30) carotenoid dehydrosqualene synthase from Staphylococcus aureus complexed with BPH-673,1.31,0.16088,0.15978,75,0,284,293,287,3,97.33,A9JQL9,AF-A9JQL9-F1-model_v4,AF_AFA9JQL9F1
3AFV,Dye-decolorizing peroxidase (DyP) at 1.4 A resolution,1.4,0.179,0.178,32,20,439,442,498,59,97.7,Q8WZK8,AF-Q8WZK8-F1-model_v4,AF_AFQ8WZK8F1
3AJ7,Crystal Structure of isomaltase from Saccharomyces cerevisiae,1.3,0.17311000000000001,0.17243,33,19,586,589,589,3,98.59,P53051,AF-P53051-F1-model_v4,AF_AFP53051F1
3ALJ,"Crystal structure of 2-methyl-3-hydroxypyridine-5-carboxylic acid oxygenase, reduced form",1.48,0.175,0.1732,35,28,369,379,379,10,97.77,Q988D3,AF-Q988D3-F1-model_v4,AF_AFQ988D3F1
3AMR,"Crystal Structures of Bacillus subtilis Alkaline Phytase in Complex with Ca2+, Co2+, Ni2+, Mg2+ and myo-Inositol Hexasulfate",1.25,0.13898,0.13685,6,48,352,355,383,31,98.23,O31097,AF-O31097-F1-model_v4,AF_AFO31097F1
3ARQ,Crystal Structure Analysis of Chitinase A from Vibrio harveyi with novel inhibitors - complex structure with IDARUBICIN,1.5,0.1465,0.1446,30,25,575,584,850,275,97.97,Q9AMP1,AF-Q9AMP1-F1-model_v4,AF_AFQ9AMP1F1
3AU2,DNA polymerase X from Thermus thermophilus HB8 complexed with Ca-dGTP,1.4,0.16304,0.16169,49,15,575,575,575,0,94.13,Q5SJ64,AF-Q5SJ64-F1-model_v4,AF_AFQ5SJ64F1
3B9W,The 1.3 A resolution structure of Nitrosomonas europaea Rh50 and mechanistic implications for NH3 transport by Rhesus family proteins,1.3,0.14809,0.14692,73,0,362,407,425,63,98.29,Q82X47,AF-Q82X47-F1-model_v4,AF_AFQ82X47F1
3BA1,Structure of hydroxyphenylpyruvate reductase from coleus blumei,1.47,NA,0.1488,41,17,312,333,313,1,97.21,Q65CJ7,AF-Q65CJ7-F1-model_v4,AF_AFQ65CJ7F1
3BOB,Carbonic anhydrase from marine diatom Thalassiosira weissflogii- cadmium bound domain 2,1.45,0.167,0.167,35,20,209,210,616,407,93.28,Q50EL4,AF-Q50EL4-F1-model_v4,AF_AFQ50EL4F1
3BPV,Crystal Structure of MarR,1.4,0.243,0.243,69,12,137,138,146,9,95.98,O26413,AF-O26413-F1-model_v4,AF_AFO26413F1
3BQC,High pH-value crystal structure of emodin in complex with the catalytic subunit of protein kinase CK2,1.5,0.13324,0.12985,40,16,328,335,391,63,97.35,P68400,AF-P68400-F1-model_v4,AF_AFP68400F1
3C8Y,1.39 Angstrom crystal structure of Fe-only hydrogenase,1.39,NA,0.132,43,17,574,574,574,0,96.19,P29166,AF-P29166-F1-model_v4,AF_AFP29166F1
3CA7,High Resolution Crystal Structure of the EGF domain of Spitz,1.5,0.201,0.2,12,38,50,52,234,184,90.12,Q01083,AF-Q01083-F1-model_v4,AF_AFQ01083F1
3CHM,Crystal structure of PCI domain from A. thaliana COP9 signalosome subunit 7 (CSN7),1.5,0.16559,0.16413,60,10,161,169,260,99,92.77,Q94JU3,AF-Q94JU3-F1-model_v4,AF_AFQ94JU3F1
3CP5,Cytochrome c from rhodothermus marinus,1.24,0.1299,NA,59,0,116,124,152,36,97.34,B3FQS5,AF-B3FQS5-F1-model_v4,AF_AFB3FQS5F1
3CTG,Crystal structure of reduced glutaredoxin 2,1.5,0.199,0.199,54,17,108,129,143,35,97.97,P17695,AF-P17695-F1-model_v4,AF_AFP17695F1
3CU4,"OmcF, Outer membrance cytochrome F from Geobacter sulfurreducens",1.3,0.169,0.169,48,0,79,85,104,25,98.04,Q74AE4,AF-Q74AE4-F1-model_v4,AF_AFQ74AE4F1
3DEO,Structural basis for specific substrate recognition by the chloroplast signal recognition particle protein cpSRP43,1.5,0.171,0.168,48,12,183,183,373,190,94.44,O22265,AF-O22265-F1-model_v4,AF_AFO22265F1
3DHA,An Ultral High Resolution Structure of N-Acyl Homoserine Lactone Hydrolase with the Product N-Hexanoyl-L-Homoserine Bound at An Alternative Site,0.95,0.1327,0.1327,26,30,254,254,250,4,98.51,P0CJ63,AF-P0CJ63-F1-model_v4,AF_AFP0CJ63F1
3DT2,The structure of rat cytosolic PEPCK in complex with oxalate and GTP,1.5,0.16,0.159,30,23,621,624,622,1,97.81,P07379,AF-P07379-F1-model_v4,AF_AFP07379F1
3DVW,Crystal structure of reduced DsbA1 from Neisseria meningitidis,1.5,0.18148,0.18148,53,13,191,193,232,41,97.63,Q9K189,AF-Q9K189-F1-model_v4,AF_AFQ9K189F1
3DXY,Crystal structure of EcTrmB in complex with SAM,1.5,0.15526,0.1537,35,21,207,218,239,32,95.8,P0A8I5,AF-P0A8I5-F1-model_v4,AF_AFP0A8I5F1
3E8T,Crystal Structure of Epiphyas postvittana Takeout 1,1.3,0.144,0.142,33,48,216,220,240,24,97.04,B5ABT1,AF-B5ABT1-F1-model_v4,AF_AFB5ABT1F1
3EU3,Crystal Structure of BdbD from Bacillus subtilis (reduced),1.5,0.18776,0.18608,52,12,186,202,222,36,98.26,O32218,AF-O32218-F1-model_v4,AF_AFO32218F1
3EYE,Crystal structure of PTS system N-acetylgalactosamine-specific IIB component 1 from Escherichia coli,1.45,0.192,0.19,39,25,153,168,158,5,96.89,Q8XAB8,AF-Q8XAB8-F1-model_v4,AF_AFQ8XAB8F1
3FTD,Crystal structure of A. aeolicus KsgA at 1.44-Angstrom resolution,1.44,0.161,0.1588,41,20,240,249,248,8,94.92,O67680,AF-O67680-F1-model_v4,AF_AFO67680F1
3GA3,Crystal structure of the C-terminal domain of human MDA5,1.45,0.18,0.18,20,41,133,133,1025,892,81.73,Q9BYX4,AF-Q9BYX4-F1-model_v4,AF_AFQ9BYX4F1
3GA4,Crystal structure of Ost6L (photoreduced form),1.3,0.1548,0.1532,36,17,156,178,332,176,91.48,Q03723,AF-Q03723-F1-model_v4,AF_AFQ03723F1
3HMC,Endolysin from Bacillus anthracis,1.44,NA,0.2071,32,29,189,192,265,76,97.21,A0A6L7HQ02,AF-A0A6L7HQ02-F1-model_v4,AF_AFA0A6L7HQ02F1
3HPC,Crystal structure of SNX5-PX domain in P21 space group,1.47,0.187,0.184,50,17,155,161,404,249,89.72,B1H267,AF-B1H267-F1-model_v4,AF_AFB1H267F1
3I45,CRYSTAL STRUCTURE OF putative twin-arginine translocation pathway signal protein from Rhodospirillum rubrum Atcc 11170,1.36,0.159,0.158,44,22,378,387,421,43,98.49,Q2RWX8,AF-Q2RWX8-F1-model_v4,AF_AFQ2RWX8F1
3ID7,Crystal structure of renal dipeptidase from Streptomyces coelicolor A3(2),1.3,0.184,0.184,50,13,391,400,400,9,97.82,Q93J45,AF-Q93J45-F1-model_v4,AF_AFQ93J45F1
3IJ8,Directed 'in situ' Elongation as a Strategy to Characterize the Covalent Glycosyl-Enzyme Catalytic Intermediate of Human Pancreatic a-Amylase,1.43,NA,0.197,29,23,495,496,511,16,98.47,P04746,AF-P04746-F1-model_v4,AF_AFP04746F1
3IP5,Structure of Atu2422-GABA receptor in complex with alanine,1.35,0.1629,0.1617,46,19,348,356,372,24,98.43,Q7CX36,AF-Q7CX36-F1-model_v4,AF_AFQ7CX36F1
3IRP,Crystal structure of functional region of UafA from Staphylococcus saprophyticus at 1.50 angstrom resolution,1.5,0.16745,0.1654,5,52,418,429,2316,1898,96.61,Q4A0V8,AF-Q4A0V8-F1-model_v4,AF_AFQ4A0V8F1
3JYO,Quinate dehydrogenase from Corynebacterium glutamicum in complex with NAD,1,0.16482,0.16326,41,18,282,283,283,1,96.77,Q9X5C9,AF-Q9X5C9-F1-model_v4,AF_AFQ9X5C9F1
3K01,Crystal structures of the GacH receptor of Streptomyces glaucescens GLA.O in the unliganded form and in complex with acarbose and an acarbose homolog. Comparison with acarbose-loaded maltose binding protein of Salmonella typhimurium.,1.35,0.157,0.155,47,19,391,412,424,33,96.12,B0B0V1,AF-B0B0V1-F1-model_v4,AF_AFB0B0V1F1
3K6I,Crystal structure of chicken T-cadherin EC1,1.13,0.143,0.142,0,52,99,99,712,613,90.68,P33150,AF-P33150-F1-model_v4,AF_AFP33150F1
3K7G,Crystal structure of the Indian Hedgehog N-terminal signalling domain,1.5,0.1727,0.1721,27,20,157,187,411,254,92.58,Q14623,AF-Q14623-F1-model_v4,AF_AFQ14623F1
3KFF,"Major mouse urinary protein IV complexed with 2-sec-butyl-4,5-dihydrothiazole",0.96,0.136,NA,20,49,152,162,178,26,97.18,P11590,AF-P11590-F1-model_v4,AF_AFP11590F1
3KWD,"Inactive truncation of the beta-carboxysomal gamma-Carbonic Anhydrase, CcmM, form 1",1.1,0.13344,0.13267,8,39,166,213,652,486,97.23,Q8DKB5,AF-Q8DKB5-F1-model_v4,AF_AFQ8DKB5F1
3L1E,Bovine AlphaA crystallin Zinc Bound,1.15,0.166,0.164,3,52,105,106,173,68,88.44,P02470,AF-P02470-F1-model_v4,AF_AFP02470F1
3L9A,Structure of the C-terminal domain from a Streptococcus mutans hypothetical,1.3,0.13462,0.13354,26,36,80,88,239,159,59.92,A2V8B8,AF-A2V8B8-F1-model_v4,AF_AFA2V8B8F1
3M3G,"Crystal structure of Sm1, an elicitor of plant defence responses from Trichoderma virens.",1.39,0.193,0.1916,26,31,120,120,138,18,98.57,Q0R411,AF-Q0R411-F1-model_v4,AF_AFQ0R411F1
3MZF,Structure of penicillin-binding protein 5 from E. coli: imipenem acyl-enzyme complex,1.5,0.189,0.188,30,33,355,363,403,48,96.55,P0AEB2,AF-P0AEB2-F1-model_v4,AF_AFP0AEB2F1
3N4J,Putative RNA methyltransferase from Yersinia pestis,1.47,0.145,0.143,34,17,161,165,162,1,93.03,Q74Y93,AF-Q74Y93-F1-model_v4,AF_AFQ74Y93F1
3NDI,X-ray Structure of a C-3'-Methyltransferase in Complex with S-adenosylmethionine and dTMP,1.5,0.19655,0.19468,38,25,405,416,414,9,98.14,B5L6K6,AF-B5L6K6-F1-model_v4,AF_AFB5L6K6F1
3NV1,Crystal structure of human galectin-9 C-terminal CRD,1.5,0.181,0.181,2,54,136,138,355,219,97.02,O00182,AF-O00182-F1-model_v4,AF_AFO00182F1
3NYC,Crystal Structure of Pseudomonas aeruginosa D-Arginine Dehydrogenase,1.06,0.135,0.134,30,26,381,381,375,6,98.28,Q9HXE3,AF-Q9HXE3-F1-model_v4,AF_AFQ9HXE3F1
3OIG,Crystal Structure of Enoyl-ACP Reductases I (FabI) from B. subtilis (complex with NAD and INH),1.25,0.16749,0.16656,49,15,260,266,258,2,96.45,P54616,AF-P54616-F1-model_v4,AF_AFP54616F1
3PB4,Crystal structure of the catalytic domain of human Golgi-resident glutaminyl cyclase at pH 6.0,1.13,0.12752,0.12621,39,18,311,330,382,71,97.56,Q9NXS2,AF-Q9NXS2-F1-model_v4,AF_AFQ9NXS2F1
3PFG,"X-Ray crystal structure the N,N-dimethyltransferase TylM1 from Streptomyces fradiae in complex with SAM and dTDP-phenol",1.349,0.18469,0.18341,30,37,241,263,255,14,96.62,P95748,AF-P95748-F1-model_v4,AF_AFP95748F1
3PO8,Structural and functional analysis of phosphothreonine-dependent FHA domain interactions,1.5,0.19102,0.18845,0,49,98,100,527,429,95.58,P71590,AF-P71590-F1-model_v4,AF_AFP71590F1
3PP5,High-resolution structure of the trimeric Scar/WAVE complex precursor Brk1,1.5,0.1601,0.1589,94,0,63,73,68,5,96.9,Q54X65,AF-Q54X65-F1-model_v4,AF_AFQ54X65F1
3PSH,Classification of a Haemophilus influenzae ABC transporter HI1470/71 through its cognate molybdate periplasmic binding protein MolA (MolA bound to Molybdate),1.5,0.2976,0.2954,43,16,326,326,351,25,98.33,P44206,AF-P44206-F1-model_v4,AF_AFP44206F1
3Q4O,Crystal Structure of a deletion mutant(11-185) of hypothetical protein MJ0754 determined to 1.34A,1.34,0.1891,0.1872,73,0,169,196,185,16,98.32,Q58164,AF-Q58164-F1-model_v4,AF_AFQ58164F1
3Q6B,The high-resolution and new form crystal structure of BamA POTRA4-5 from E.coli,1.5,0.1487,0.1466,27,38,155,189,810,655,91.84,P0A940,AF-P0A940-F1-model_v4,AF_AFP0A940F1
3QNS,"DyPB from Rhodococcus jostii RHA1, crystal form 2",1.4,0.131,0.1301,32,26,311,353,350,39,95.43,Q0SE24,AF-Q0SE24-F1-model_v4,AF_AFQ0SE24F1
3R0N,Crystal Structure of the Immunoglobulin variable domain of Nectin-2,1.3,0.1534,0.1523,7,45,128,128,538,410,88.31,Q92692,AF-Q92692-F1-model_v4,AF_AFQ92692F1
3R5T,Crystal structure of holo-ViuP,1.45,0.183,0.1819,36,19,296,305,325,29,96.82,Q9RCF6,AF-Q9RCF6-F1-model_v4,AF_AFQ9RCF6F1
3R87,Crystal Structure of Orf6 protein from Photobacterium profundum,1.05,0.14921,0.14888,27,39,132,135,133,1,95.71,Q93CG9,AF-Q93CG9-F1-model_v4,AF_AFQ93CG9F1
3RJP,Crystal structure of the DNA binding domain of CovR from Streptococcus pyogenes,1.5,0.201,0.201,35,19,96,96,228,132,85.48,O87527,AF-O87527-F1-model_v4,AF_AFO87527F1
3RJS,Crystal structure of Dynein Light Chain 8a (DLC8) from Toxoplasma gondii at 1.5 A resolution,1.5,0.1938,0.1926,38,34,87,89,89,2,96.79,A1YTN0,AF-A1YTN0-F1-model_v4,AF_AFA1YTN0F1
3RKG,Structural and Functional Characterization of the Yeast Mg2+ Channel Mrs2,1.28,0.1704,0.1685,59,13,258,261,470,212,89.76,Q01926,AF-Q01926-F1-model_v4,AF_AFQ01926F1
3S0A,"Apis mellifera OBP14, native apo-protein",1.15,0.15602,0.15484,64,2,119,119,135,16,95.41,Q1W640,AF-Q1W640-F1-model_v4,AF_AFQ1W640F1
3SIL,SIALIDASE FROM SALMONELLA TYPHIMURIUM,1.05,0.1163,NA,6,47,378,379,382,4,98.52,P29768,AF-P29768-F1-model_v4,AF_AFP29768F1
3SZY,Crystal Structure of Phosphonoacetate hydrolase from Sinorhizobium meliloti 1021 in APO form,1.35,0.1974,0.1968,35,22,413,427,424,11,95.52,Q92UV8,AF-Q92UV8-F1-model_v4,AF_AFQ92UV8F1
3T7V,Crystal structure of methylornithine synthase (PylB),1.5,0.13049,0.12865,44,16,337,350,350,13,96.32,Q46E78,AF-Q46E78-F1-model_v4,AF_AFQ46E78F1
3T9W,Small laccase from Amycolatopsis sp. ATCC 39116,1.5,0.1736,0.1721,5,43,270,299,279,9,97.39,J9PBQ8,AF-J9PBQ8-F1-model_v4,AF_AFJ9PBQ8F1
3TBN,Crystal structure of a miner2 homolog: a type 6 CDGSH iron-sulfur protein.,1.15,0.112,0.1113,3,21,87,87,79,8,97.13,Q2W014,AF-Q2W014-F1-model_v4,AF_AFQ2W014F1
3TE4,Crystal structure of dopamine N Acetyltransferase in complex with acetyl-COA from Drosophila Melanogaster,1.46,0.143,0.14,44,24,210,215,275,65,96.33,Q94521,AF-Q94521-F1-model_v4,AF_AFQ94521F1
3TRD,Structure of an alpha-beta serine hydrolase homologue from Coxiella burnetii,1.5,0.1679,0.1662,33,22,208,208,205,3,96.07,Q83AV9,AF-Q83AV9-F1-model_v4,AF_AFQ83AV9F1
3U9W,Structure of human Leukotriene A4 hydrolase in complex with inhibitor sc57461A,1.25,0.1344,0.1339,44,23,608,608,611,3,96.78,P09960,AF-P09960-F1-model_v4,AF_AFP09960F1
3UJ8,Phosphoethanolamine methyltransferase from Plasmodium falciparum in complex with sinefungin and PO4,1.351,0.1637,0.163,49,21,258,266,266,8,98.25,Q8IDQ9,AF-Q8IDQ9-F1-model_v4,AF_AFQ8IDQ9F1
3US6,Crystal Structure of Histidine-containing Phosphotransfer Protein MtHPt1 from Medicago truncatula,1.446,0.1684,0.1675,79,1,148,153,153,5,94.53,B7FGU6,AF-B7FGU6-F1-model_v4,AF_AFB7FGU6F1
3V39,"Bd3459, A Predatory Peptidoglycan Endopeptidase from Bdellovibrio bacteriovorus",1.45,0.1669,0.1661,33,22,402,418,446,44,97.98,Q6MHT0,AF-Q6MHT0-F1-model_v4,AF_AFQ6MHT0F1
3VC5,Crystal structure of enolase Tbis_1083(TARGET EFI-502310) FROM Thermobispora bispora DSM 43833 complexed with phosphate,1.5,0.14335,0.14225,39,19,419,441,419,0,97.54,D6Y7Y6,AF-D6Y7Y6-F1-model_v4,AF_AFD6Y7Y6F1
3VGI,The crystal structure of hyperthermophilic family 12 endocellulase from Pyrococcus furiosus,1.07,0.1285,0.127,6,55,270,319,319,49,98.53,Q9V2T0,AF-Q9V2T0-F1-model_v4,AF_AFQ9V2T0F1
3VLA,Crystal structure of edgp,0.95,0.12847,0.12756,13,40,412,413,433,21,98.05,Q05929,AF-Q05929-F1-model_v4,AF_AFQ05929F1
3VOR,Crystal Structure Analysis of the CofA,0.9,0.121,0.12,32,20,182,182,238,56,96.37,Q59393,AF-Q59393-F1-model_v4,AF_AFQ59393F1
3VWC,High resolution structure of proteinase inhibitor from Coprinopsis cinerea,1.5,0.201,0.1991,4,42,146,149,150,4,95.17,D0EWJ0,AF-D0EWJ0-F1-model_v4,AF_AFD0EWJ0F1
3VX0,Crystal Structure of alpha-amylase from Aspergillus oryzae,1.5,0.192,0.192,35,21,475,478,499,24,98.45,P0C1B3,AF-P0C1B3-F1-model_v4,AF_AFP0C1B3F1
3W41,Crystal structure of RsbX in complex with magnesium in space group P21,1.42,0.1887,0.1873,24,37,199,199,199,0,96.05,P17906,AF-P17906-F1-model_v4,AF_AFP17906F1
3W8M,Crystal Structure of HasAp with Iron Salophen,1.46,0.183,0.1818,28,37,184,186,205,21,97.77,G3XD33,AF-G3XD33-F1-model_v4,AF_AFG3XD33F1
3WI9,Crystal structure of copper nitrite reductase from Geobacillus kaustophilus,1.3,0.1824,0.18162,13,47,303,324,354,51,97.88,Q5L1X8,AF-Q5L1X8-F1-model_v4,AF_AFQ5L1X8F1
3WMY,Crystal Structure of Streptomyces coelicolor alpha-L-arabinofuranosidase,1.4,0.2056,0.20495,6,45,302,438,475,173,96.38,O54161,AF-O54161-F1-model_v4,AF_AFO54161F1
3WWL,Crystal structure of lysine biosynthetic amino acid carrier protein LysW from Thermus thermophilus conjugated with alpha-aminoadipate,1.2,0.14592,0.14542,0,36,53,54,54,1,93.13,Q5SH22,AF-Q5SH22-F1-model_v4,AF_AFQ5SH22F1
3ZJA,The crystal structure of a Cu(I) metallochaperone from Streptomyces lividans,1.48,0.18741,0.18544,0,58,114,140,178,64,96.63,Q93J41,AF-Q93J41-F1-model_v4,AF_AFQ93J41F1
3ZR8,Crystal structure of RxLR effector Avr3a11 from Phytophthora capsici,0.9,0.12669,0.1255,74,0,65,65,65,0,94.65,G1K3S4,AF-G1K3S4-F1-model_v4,AF_AFG1K3S4F1
3ZSK,Crystal structure of Human Galectin-3 CRD with glycerol bound at 0.90 angstrom resolution,0.9,0.1326,NA,2,62,138,138,250,112,98.41,P17931,AF-P17931-F1-model_v4,AF_AFP17931F1
3ZUD,THERMOASCUS GH61 ISOZYME A,1.25,0.1563,0.15511,11,33,227,228,228,1,98.24,G3XAP7,AF-G3XAP7-F1-model_v4,AF_AFG3XAP7F1
3ZYP,"Cellulose induced protein, Cip1",1.5,0.19244,0.19115,7,39,217,218,316,99,98.09,Q7Z9M9,AF-Q7Z9M9-F1-model_v4,AF_AFQ7Z9M9F1
4A02,X-ray crystallographic structure of EfCBM33A,0.95,0.0964,NA,11,43,166,166,194,28,98.28,Q838S1,AF-Q838S1-F1-model_v4,AF_AFQ838S1F1
4A9V,Pseudomonas fluorescens PhoX,1.1,0.11836,0.1366,13,33,581,592,633,52,98.7,Q3K5N8,AF-Q3K5N8-F1-model_v4,AF_AFQ3K5N8F1
4ABL,"HUMAN PARP14 (ARTD8, BAL2) - MACRO DOMAIN 3",1.15,0.16222,0.16067,39,24,181,183,1801,1620,89.17,Q460N5,AF-Q460N5-F1-model_v4,AF_AFQ460N5F1
4AL0,Crystal structure of Human PS-1,1.16,0.12231,0.12192,79,1,146,152,152,6,97.55,O14684,AF-O14684-F1-model_v4,AF_AFO14684F1
4ANN,Crystal Structure Staphylococcus aureus ESSB cytoplasmic fragment,1.05,NA,NA,49,17,176,215,444,268,93.32,Q2G185,AF-Q2G185-F1-model_v4,AF_AFQ2G185F1
4AU1,Crystal Structure of CobH (precorrin-8x methyl mutase) complexed with C5 desmethyl-HBA,1.45,0.1613,0.1605,50,10,208,229,209,1,98.31,D5AV08,AF-D5AV08-F1-model_v4,AF_AFD5AV08F1
4AZ6,"Differential inhibition of the tandem GH20 catalytic modules in the pneumococcal exo-beta-D-N-acetylglucosaminidase, StrH",1.36,0.1164,0.11512,43,17,435,435,1312,877,96.83,P49610,AF-P49610-F1-model_v4,AF_AFP49610F1
4B4D,Crystal structure of FAD-containing ferredoxin-NADP reductase from Xanthomonas axonopodis pv. citri,1.5,0.20893,0.20732,27,31,256,262,259,3,96.33,Q8PMH0,AF-Q8PMH0-F1-model_v4,AF_AFQ8PMH0F1
4B9A,Structure of a putative epoxide hydrolase from Pseudomonas aeruginosa.,1.45,0.11199,0.11059,48,18,298,301,300,2,98.15,Q9I229,AF-Q9I229-F1-model_v4,AF_AFQ9I229F1
4BT2,"acetolactate decarboxylase with a bound 1,2-ETHANEDIOL",1.1,0.18933,0.18858,20,43,237,257,285,48,98.09,P23616,AF-P23616-F1-model_v4,AF_AFP23616F1
